GEOID,county,tractnames,ahdi,lifeexpE,hs_grad_per,bac_deg_per,grad_deg_per,enrollment_per,med_earnings,health_index,edu_attain_index,enroll_index,education_index,income_index
51003010100,Albemarle,Free Union,7.501509290990811,84.3,93.83,57.37,29.43,79.81,55581,7.624999999999998,8.708666666666666,5.66,7.692444444444444,7.187083428527993
51003010201,Albemarle,Charlottesville-Albemarle Airport,6.908598158273297,77.3,98.47,59.56,28.59,84.82,58836,4.708333333333332,9.108,7.09142857142857,8.435809523809523,7.5816516176770365
51003010202,Albemarle,Earlysville,8.735567831153785,80.9,98.41,74.06,42.55,96.83,73841,6.208333333333336,11.001333333333331,10.522857142857143,10.841841269841268,9.156528890286749
51003010301,Albemarle,Berkmar Drive,6.185120744258765,81.9,92.34,46.94,23.82,69.74,46673,6.625000000000002,7.54,2.782857142857141,5.954285714285714,5.976076518490583
51003010302,Albemarle,Polo Grounds Road,8.843156227071281,81.9,97.42,67.28,27.13,94.07,87790,6.625000000000002,9.455333333333336,9.734285714285711,9.54831746031746,10.356151220896379
51003010303,Albemarle,Hollymead,7.632009921338767,81.9,97.03,57.21,25.17,90.16,59394,6.625000000000002,8.627333333333334,8.617142857142856,8.623936507936508,7.647093256079791
51003010401,Albemarle,Stony Point-Keswick,6.492439784670668,80.6,89.19,50.61,16.61,74.5,56361,6.08333333333333,7.094,4.142857142857143,6.110285714285714,7.283700306392959
51003010402,Albemarle,Village of Rivanna,8.172817222842381,83.7,96.01,63.32,33.84,89.65,62105,7.375000000000002,9.544666666666668,8.471428571428573,9.186920634920636,7.9565310336065025
51003010501,Albemarle,Darden-Key West,8.066052077413822,82.8,96.89,66.13,29.71,87.89,64310,6.999999999999998,9.515333333333333,7.968571428571428,8.999746031746032,8.198410200495438
51003010502,Albemarle,Pantops,7.169251175100207,82.8,96.75,62.85,26,79.87,50985,6.999999999999998,9.040000000000001,5.677142857142858,7.919047619047619,6.588705906253004
51003010603,Albemarle,Branchland,6.515325662680937,79.7,92.22,58.31,25.88,71.43,55132,5.708333333333334,8.427333333333333,3.265714285714288,6.706793650793651,7.130850003915825
51003010604,Albemarle,Woodbrook-Carrsbrook,6.888021415511873,79.7,83.89,57.03,30.27,85.84,54955,5.708333333333334,8.079333333333333,7.382857142857144,7.847174603174603,7.108556310027684
51003010602,Albemarle,Dunlora-Stone Henge,8.085720348739033,80.2,98.32,70.62,36.63,93.34,64800,5.916666666666668,10.371333333333332,9.525714285714287,10.089460317460317,8.251034062090113
51003010701,Albemarle,Hydraulic,4.742604052868901,76.7,95.63,50.43,20.54,56.34,40170,4.458333333333335,7.773333333333333,-1.0457142857142847,4.833650793650794,4.935828031622574
51003010702,Albemarle,Commonwealth-Townwood-Berkmar,5.531538953400385,76.7,88.87,38.25,19.99,78.15,47458,4.458333333333335,6.474000000000001,5.185714285714287,6.044571428571429,6.091712098296388
51003010801,Albemarle,Barracks-Hessian Hills,6.004098230552411,82.6,91.45,55.55,26.33,72.69,37213,6.916666666666664,8.222,3.625714285714285,6.689904761904761,4.4057232630858065
51003010802,Albemarle,Albemarle High School,6.265502185878808,82.6,85.81,48.33,31.78,71.32,44527,6.916666666666664,7.728000000000001,3.234285714285712,6.230095238095237,5.649744652874521
51003010901,Albemarle,Old Ivy-Darden School (UVA),5.853443357104797,78.6,99.58,89.44,37.55,96.07,22860,5.249999999999998,11.771333333333331,10.305714285714284,11.282793650793648,1.0275364205207442
51003011000,Albemarle,Ivy,9.61672428847015,86.3,96.71,79.31,41.57,95,78833,8.458333333333332,11.172666666666666,10,10.781777777777776,9.61006175429934
51003011101,Albemarle,Crozet-Beaver Creek,7.673312686297959,80.7,92.5,63.28,31.98,94.83,57772,6.125000000000002,9.184000000000001,9.951428571428572,9.439809523809524,7.455128535084351
51003011102,Albemarle,Western Ridge-Westhall,7.26331009468014,80.7,96.14,75.51,39.15,72.95,56371,6.125000000000002,10.72,3.700000000000001,8.38,7.284930284040416
51003011103,Albemarle,Old Trail,8.23587393525242,80.7,97.73,71.28,41.72,92.75,65448,6.125000000000002,10.715333333333337,9.357142857142858,10.262603174603177,8.32001863115408
51003011201,Albemarle,"Yancey Mills, Batesville",6.539917385005823,78.5,96.64,61.98,31.7,80.94,48071,5.208333333333334,9.354666666666667,5.982857142857142,8.23073015873016,6.180688662953977
51003011202,Albemarle,North Garden,9.303453381263214,87.1,95.05,69.13,43.43,90.52,74382,8.791666666666664,10.507333333333333,8.719999999999999,9.911555555555555,9.207137921567423
51003011301,Albemarle,"Monticello, Carters Mountain",6.779851320495471,84.1,91.89,45,20.65,83.92,45112,7.541666666666664,7.169333333333333,6.8342857142857145,7.057650793650794,5.740236501168955
51003011302,Albemarle,"Oak Hill, Southwood",5.240698318196691,75.5,91.86,58.06,29.31,68.32,41898,3.958333333333333,8.615333333333334,2.377142857142855,6.5359365079365075,5.227825113320232
51003011303,Albemarle,Avon Street Ext.-Mill Creek,6.853434356337871,80,93.24,62.58,30.1,77.22,54462,5.833333333333334,9.061333333333332,4.92,7.680888888888887,7.046080846791392
51003011400,Albemarle,Southern Albemarle-Scottsville,5.825980897982602,79,87.66,39.85,19.79,79.81,45833,5.416666666666666,6.486666666666666,5.66,6.21111111111111,5.850164916170031
51003010904,Albemarle,Carr's Hill-McCormick Road (UVA),NA,NA,84.79,53.54,37.6,99.22,4046,NA,8.395333333333333,11.205714285714286,9.332126984126983,-10.977874764614137
