GEOID,locality,race,group_total,group_total_moe,edu_level,estimate,percent,year
51003,"Albemarle County, Virginia",White,62176,369,less_than_hs,2583,4.15,2023
51003,"Albemarle County, Virginia",White,62176,369,hs_only,19529,31.41,2023
51003,"Albemarle County, Virginia",White,62176,369,bachelors_up,40064,64.44,2023
51003,"Albemarle County, Virginia",White_non_hisp,60775,204,less_than_hs,2346,3.86,2023
51003,"Albemarle County, Virginia",White_non_hisp,60775,204,hs_only,18994,31.25,2023
51003,"Albemarle County, Virginia",White_non_hisp,60775,204,bachelors_up,39435,64.89,2023
51003,"Albemarle County, Virginia",Black,6703,212,less_than_hs,660,9.85,2023
51003,"Albemarle County, Virginia",Black,6703,212,hs_only,3985,59.45,2023
51003,"Albemarle County, Virginia",Black,6703,212,bachelors_up,2058,30.7,2023
51003,"Albemarle County, Virginia",Amer_Indian,69,47,less_than_hs,16,23.19,2023
51003,"Albemarle County, Virginia",Amer_Indian,69,47,hs_only,33,47.83,2023
51003,"Albemarle County, Virginia",Amer_Indian,69,47,bachelors_up,20,28.99,2023
51003,"Albemarle County, Virginia",Asian,3866,203,less_than_hs,320,8.28,2023
51003,"Albemarle County, Virginia",Asian,3866,203,hs_only,718,18.57,2023
51003,"Albemarle County, Virginia",Asian,3866,203,bachelors_up,2828,73.15,2023
51003,"Albemarle County, Virginia",NHPI,34,49,less_than_hs,0,0,2023
51003,"Albemarle County, Virginia",NHPI,34,49,hs_only,0,0,2023
51003,"Albemarle County, Virginia",NHPI,34,49,bachelors_up,34,100,2023
51003,"Albemarle County, Virginia",Other,1658,395,less_than_hs,415,25.03,2023
51003,"Albemarle County, Virginia",Other,1658,395,hs_only,890,53.68,2023
51003,"Albemarle County, Virginia",Other,1658,395,bachelors_up,353,21.29,2023
51003,"Albemarle County, Virginia",Multi,3444,536,less_than_hs,333,9.67,2023
51003,"Albemarle County, Virginia",Multi,3444,536,hs_only,1230,35.71,2023
51003,"Albemarle County, Virginia",Multi,3444,536,bachelors_up,1881,54.62,2023
51003,"Albemarle County, Virginia",Hispanic,4519,NA,less_than_hs,920,20.36,2023
51003,"Albemarle County, Virginia",Hispanic,4519,NA,hs_only,1970,43.59,2023
51003,"Albemarle County, Virginia",Hispanic,4519,NA,bachelors_up,1629,36.05,2023
