GEOID,coef,_se
5110701,1308,254.95447094015688
5110702,386,130.25997719489283
5110703,788,183.24981528053712
5110901,0,0
5112100,83,50.54689796144832
511301,838,204.34849501679335
511302,527,118.0098469158989
5114300,597,146.75878797566259
5114501,33,16.522648361451164
5114900,650,155.283544132057
511500,100,60.14967701717759
5115301,158,56.70929613099103
5115302,275,121.20579131277506
5115303,377,126.74650663094998
5116101,262,69.99883318176884
5116500,315,94.57678702934425
5117100,67,33.71930322600512
5117700,397,104.8075581945443
5117900,364,102.14542181744795
5118500,589,219.4862966599742
511900,11,11.000000000107265
5119100,431,119.02336016831887
514101,1111,218.8971440508628
514102,659,132.98846723759775
514103,131,71.71449785122131
5151000,48,28.142425718055556
5151010,1194,207.84719704348228
5151020,1126,238.38812161022668
5151040,1079,254.9787894689273
5151044,503,140.50765894431524
5151045,774,188.86120880139845
5151080,211,67.43068708652837
5151084,1208,275.0899023311512
5151085,603,135.37398260242153
5151087,935,173.07465568783303
5151089,879,207.97867883482996
5151090,868,191.69288827592973
5151095,378,91.38739104562539
5151096,906,234.7808291831147
5151097,1592,261.30763492353
5151105,1408,226.9560566758113
5151110,542,125.50413361461253
5151115,888,236.04262756386214
5151120,1765,334.1576019693053
5151125,1521,284.6704746914946
5151135,1445,262.01111632006706
5151145,829,218.34688233274474
5151154,2013,298.3300920721752
5151155,1890,362.00439476413453
5151164,359,84.11116367349483
5151165,1136,181.74921617170904
5151167,780,207.83780115368907
5151175,974,191.99391487883094
5151186,995,248.84658248812818
5151206,576,188.87890618334794
5151215,398,132.4675018104052
5151224,483,152.32354258322613
5151225,822,161.56836126671033
5151235,3266,436.65679152390055
5151244,509,115.82042326525757
5151245,1699,344.12193501364675
5151246,2582,424.0629392426021
5151255,1658,281.5619977257378
5154001,79,44.305632114013584
5155001,556,198.53289098952413
5155002,542,154.95582829014037
515901,188,63.73319257160578
515902,105,88.07378511858099
515904,72,43.9316703660893
515905,0,0
515906,131,64.47454284665866
515907,1097,286.04217481942624
515908,210,104.75645617290576
5159301,1975,434.7591154837082
5159302,1398,265.85178707582315
5159303,823,202.38421187350477
5159304,447,118.82981169745081
5159305,230,80.46043143399808
5159306,548,141.77193635099053
5159307,682,151.8975548942873
5159308,315,130.9228385279729
5159309,1133,245.47070046218718
5160001,118,42.91816676081222
516100,164,93.58393835869592
5161001,37,26.172471169830164
5165000,378,108.06323965843241
5168000,229,93.16054880622333
5168701,468,136.01281604508026
516900,172,86.18551631219992
5170000,364,149.6118906432833
5171001,272,173.07191328191354
5171002,537,154.70721492676762
517300,440,161.6464377418122
5174001,127,46.82909658502351
5176001,43,32.2024520673727
5176002,622,218.94093129412107
5177001,370,122.29344831500876
5180000,103,40.01220958316842
5181001,43,25.396789454477087
5181002,311,85.71330682198098
5181003,52,30.033237956114263
518300,816,223.25416318998109
518501,161,81.3200499291047
518701,427,142.31860265810172
518702,355,115.46735993556175
519500,161,98.81780506530912
